,Clear_day_cov,Clear_night_cov,Day_view_angle,Day_view_time,Emis_31,Emis_32,LST_Day_1km,LST_Night_1km,Night_view_angle,Night_view_time,QC_Day,QC_Night
0,3033.8125,2359.133333333333,70.6875,109.5,245.6875,247.375,15859.4375,14832.733333333334,55.266666666666666,219.06666666666666,8.125,12.0
1,3014.8125,2390.733333333333,70.75,109.5,244.25,246.125,15862.5,14834.866666666667,55.266666666666666,219.06666666666666,10.25,14.5
2,3049.625,2393.4666666666667,70.875,109.5,245.3125,247.25,15844.9375,14817.2,55.333333333333336,219.06666666666666,4.0625,2.0
3,3115.5,2410.2,71.0625,109.5,245.8125,247.6875,15840.5,14795.2,55.333333333333336,219.06666666666666,4.0625,2.0
4,3106.5,2432.0,71.125,109.5,246.3125,247.9375,15878.125,14776.133333333333,55.4,219.06666666666666,4.0625,2.0
5,3214.6666666666665,2455.266666666667,60.266666666666666,108.2,246.4375,248.1875,15904.533333333333,14778.4,55.46666666666667,219.06666666666666,0.125,2.0
6,3062.5,2467.8,63.25,108.5,246.5,248.375,15898.0625,14787.2,55.46666666666667,219.13333333333333,4.0625,2.0
7,2812.9375,2375.133333333333,70.8125,109.5,243.875,245.75,15902.75,14821.466666666667,55.266666666666666,219.06666666666666,16.4375,15.5
8,2841.0625,2408.0,70.875,109.5,243.0,244.9375,15895.6875,14817.066666666668,55.333333333333336,219.06666666666666,23.75,15.125
9,2862.875,2418.4,71.125,109.5,244.0,246.0,15903.25,14809.4,55.333333333333336,219.06666666666666,19.5625,12.0
10,2840.75,2431.4666666666667,71.125,109.5,245.5625,247.5625,15912.5625,14790.933333333332,55.4,219.06666666666666,8.125,2.0
11,2805.5,2210.6666666666665,63.25,108.5,246.3125,248.0625,15925.5625,14757.933333333332,63.86666666666667,220.2,4.0625,33.5
12,2876.5,2302.5333333333333,63.25,108.5,246.625,248.1875,15930.3125,14753.2,63.93333333333333,220.26666666666668,4.0625,33.5
13,2637.9375,2485.6666666666665,70.8125,109.5,245.1875,247.0,15928.625,14795.133333333333,55.266666666666666,219.06666666666666,5.0625,12.0
14,2692.6875,2507.2,70.875,109.5,244.25,246.1875,15904.75,14802.933333333332,55.333333333333336,219.06666666666666,19.5,9.5
15,2734.125,2569.866666666667,71.125,109.5,244.875,246.6875,15906.3125,14796.333333333334,55.333333333333336,219.06666666666666,20.625,2.0
16,2770.0,2570.866666666667,63.25,108.5,245.9375,247.875,15934.875,14771.8,55.4,219.06666666666666,14.25,2.0
17,2808.875,2421.733333333333,63.25,108.5,246.3125,248.0625,15955.6875,14738.0,63.86666666666667,220.2,4.0625,33.5
18,2842.75,2644.0,63.25,108.5,246.5625,248.3125,15968.5,14744.6,63.93333333333333,220.26666666666668,4.0625,33.5
19,2394.875,2535.2,70.8125,109.5,246.25,247.9375,15923.75,14773.6,55.266666666666666,219.06666666666666,4.0625,2.0
20,2420.5625,2532.866666666667,70.875,109.5,246.0625,247.8125,15928.875,14783.666666666666,55.266666666666666,219.06666666666666,5.125,2.0
21,2472.9375,2658.5333333333333,71.125,109.5,246.125,248.0,15925.0,14776.4,55.333333333333336,219.06666666666666,4.0625,2.0
22,2546.5,2669.3333333333335,63.25,108.5,246.375,248.0625,15939.125,14759.466666666667,55.333333333333336,219.06666666666666,8.125,2.0
23,2622.5,2518.0666666666666,63.25,108.5,246.6875,248.1875,15951.4375,14736.933333333332,63.86666666666667,220.2,8.125,33.5
24,2670.6875,2677.4666666666667,63.25,108.5,246.5625,248.25,15959.25,14748.333333333334,63.86666666666667,220.26666666666668,4.0625,33.5
25,3033.8125,2359.133333333333,70.6875,109.5,245.6875,247.375,15859.4375,14832.733333333334,55.266666666666666,219.06666666666666,8.125,12.0
26,3014.8125,2390.733333333333,70.75,109.5,244.25,246.125,15862.5,14834.866666666667,55.266666666666666,219.06666666666666,10.25,14.5
27,3049.625,2393.4666666666667,70.875,109.5,245.3125,247.25,15844.9375,14817.2,55.333333333333336,219.06666666666666,4.0625,2.0
28,3115.5,2410.2,71.0625,109.5,245.8125,247.6875,15840.5,14795.2,55.333333333333336,219.06666666666666,4.0625,2.0
29,3106.5,2432.0,71.125,109.5,246.3125,247.9375,15878.125,14776.133333333333,55.4,219.06666666666666,4.0625,2.0
30,3214.6666666666665,2455.266666666667,60.266666666666666,108.2,246.4375,248.1875,15904.533333333333,14778.4,55.46666666666667,219.06666666666666,0.125,2.0
31,3062.5,2467.8,63.25,108.5,246.5,248.375,15898.0625,14787.2,55.46666666666667,219.13333333333333,4.0625,2.0
32,2812.9375,2375.133333333333,70.8125,109.5,243.875,245.75,15902.75,14821.466666666667,55.266666666666666,219.06666666666666,16.4375,15.5
33,2841.0625,2408.0,70.875,109.5,243.0,244.9375,15895.6875,14817.066666666668,55.333333333333336,219.06666666666666,23.75,15.125
34,2862.875,2418.4,71.125,109.5,244.0,246.0,15903.25,14809.4,55.333333333333336,219.06666666666666,19.5625,12.0
35,2840.75,2431.4666666666667,71.125,109.5,245.5625,247.5625,15912.5625,14790.933333333332,55.4,219.06666666666666,8.125,2.0
36,2805.5,2210.6666666666665,63.25,108.5,246.3125,248.0625,15925.5625,14757.933333333332,63.86666666666667,220.2,4.0625,33.5
37,2876.5,2302.5333333333333,63.25,108.5,246.625,248.1875,15930.3125,14753.2,63.93333333333333,220.26666666666668,4.0625,33.5
38,2637.9375,2485.6666666666665,70.8125,109.5,245.1875,247.0,15928.625,14795.133333333333,55.266666666666666,219.06666666666666,5.0625,12.0
