,QC_250m,granule_pnt,iobs_res,num_observations,obscov,orbit_pnt,sur_refl_b01,sur_refl_b02
0,4096,0,0,1,58,0,1378,2618
1,4096,0,0,1,36,0,1515,2758
2,4096,0,0,1,36,0,1372,2679
3,4096,0,0,1,53,0,1834,3053
4,4096,0,0,1,43,0,2100,3216
5,4096,0,0,1,34,0,2072,3230
6,4096,0,0,1,45,0,1835,3022
7,4096,0,0,1,58,0,1258,2519
8,4096,0,0,1,36,0,1413,2647
9,4096,0,0,1,36,0,1482,2590
10,4096,0,0,1,53,0,1929,3099
11,4096,0,0,1,43,0,2198,3326
12,4096,0,0,1,34,0,2333,3404
13,4096,0,0,1,38,0,1140,2418
14,4096,0,0,1,59,0,1021,2383
15,4096,0,0,1,35,0,1403,2567
16,4096,0,0,1,36,0,2247,3386
17,4096,0,0,1,52,0,1991,2909
18,4096,0,0,1,44,0,2067,2938
19,4096,0,0,1,35,0,1282,2421
20,4096,0,0,1,38,0,1140,2447
21,4096,0,0,1,59,0,1584,2490
22,4096,0,0,1,36,0,1885,2813
23,4096,0,0,1,36,0,1881,2761
24,4096,0,0,1,53,0,2055,2910
25,4096,2,0,1,13,1,1002,2148
26,4096,2,1,1,10,1,1184,2338
27,4096,2,0,1,10,1,1200,2368
28,4096,2,1,1,10,1,1455,2578
29,4096,2,0,1,9,1,1723,2812
30,4096,2,1,1,9,1,1742,2805
31,4096,2,1,1,8,1,1487,2537
32,4096,2,0,1,10,1,1107,2283
33,4096,2,1,1,8,1,1241,2393
34,4096,2,0,1,11,1,1304,2391
35,4096,2,1,1,11,1,1522,2570
36,4096,2,1,1,7,1,1751,2786
37,4096,2,1,1,12,1,1833,2851
38,4096,2,0,1,12,1,1044,2204
39,4096,2,0,1,9,1,972,2161
40,4096,2,0,1,13,1,1263,2369
41,4096,2,1,1,13,1,1639,2698
42,4096,2,1,1,10,1,1658,2611
43,4096,2,0,1,13,1,1722,2632
44,4096,2,0,1,6,1,1150,2289
45,4096,2,0,1,12,1,1048,2261
46,4096,2,1,1,12,1,1321,2395
47,4096,2,1,1,11,1,1630,2621
48,4096,2,1,1,13,1,1637,2541
49,4096,2,0,1,10,1,1701,2532
50,4096,0,0,1,27,0,1573,3000
51,4096,0,0,1,42,0,1648,3066
52,4096,0,0,1,27,0,1513,3004
53,4096,0,0,1,57,0,2012,3369
54,4096,0,0,1,27,0,2351,3571
55,4096,0,0,1,50,0,2335,3576
56,4096,0,0,1,29,0,2032,3363
57,4096,0,0,1,31,0,1443,2875
58,4096,0,0,1,56,0,1649,3054
59,4096,0,0,1,25,0,1786,3078
60,4096,0,0,1,42,0,2169,3515
61,4096,0,0,1,37,0,2456,3652
62,4096,0,0,1,49,0,2567,3757
63,4096,0,0,1,54,0,1285,2733
64,4096,0,0,1,25,0,1240,2772
65,4096,0,0,1,41,0,1696,3135
66,4096,0,0,1,33,0,2468,3729
67,4096,0,0,1,53,0,2271,3289
68,4096,0,0,1,28,0,2327,3311
69,4096,0,0,1,27,0,1475,2857
70,4096,0,0,1,38,0,1328,2797
71,4096,0,0,1,29,0,2014,3264
72,4096,0,0,1,56,0,2197,3229
73,4096,0,0,1,27,0,2183,3168
74,4096,0,0,1,41,0,2273,3161
75,4096,2,0,1,23,1,1103,2270
76,4096,2,1,1,18,1,1279,2432
77,4096,2,1,1,17,1,1271,2424
78,4096,2,1,1,21,1,1614,2644
79,4096,2,0,1,13,1,1807,2796
