,DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07
0,236.0,2116.0,2015.0,3141.0,809.0,2900.0,0.0,711.0,1435.0,2743.0,682.0,2016.0
1,236.0,2116.0,1973.0,3055.0,808.0,2899.0,0.0,709.0,1461.0,2746.0,699.0,2075.0
2,229.0,2116.0,1959.0,3040.0,5185.0,2924.0,0.0,610.0,1497.0,2769.0,716.0,2077.0
3,229.0,2116.0,1841.0,2765.0,840.0,2898.0,0.0,702.0,1715.0,2969.0,802.0,2427.0
4,236.0,2116.0,1509.0,2117.0,5201.0,2923.0,0.0,601.0,2076.0,3188.0,964.0,3023.0
5,229.0,2116.0,1479.0,2048.0,840.0,2897.0,0.0,696.0,2121.0,3213.0,1000.0,2815.0
6,236.0,2116.0,1631.0,2479.0,5184.0,2922.0,0.0,606.0,1667.0,2736.0,835.0,1992.0
7,229.0,2116.0,2049.0,3290.0,-3618.0,2873.0,0.0,808.0,1321.0,2615.0,632.0,2247.0
8,236.0,2116.0,1835.0,2826.0,512.0,2898.0,0.0,706.0,1580.0,2820.0,719.0,2425.0
9,229.0,2116.0,1460.0,2277.0,521.0,2898.0,0.0,706.0,1685.0,2690.0,770.0,2815.0
10,229.0,2116.0,1413.0,2008.0,4896.0,2922.0,0.0,609.0,2057.0,3092.0,955.0,3049.0
11,236.0,2116.0,1464.0,1977.0,811.0,2897.0,0.0,689.0,2267.0,3385.0,1056.0,3107.0
12,229.0,2116.0,1400.0,1847.0,-3545.0,2871.0,0.0,772.0,2431.0,3533.0,1127.0,3209.0
13,229.0,2116.0,1781.0,3072.0,491.0,2898.0,0.0,707.0,1165.0,2200.0,625.0,1882.0
14,229.0,2116.0,1334.0,2389.0,496.0,2898.0,0.0,705.0,1262.0,2082.0,607.0,2353.0
15,236.0,2185.0,1172.0,1958.0,4621.0,2922.0,1.0,611.0,1538.0,2282.0,759.0,2478.0
16,236.0,2116.0,1429.0,1942.0,474.0,2896.0,0.0,696.0,2246.0,3328.0,1046.0,2907.0
17,229.0,2116.0,1300.0,1828.0,-3612.0,2871.0,0.0,776.0,2146.0,3111.0,1000.0,2894.0
18,236.0,2116.0,1257.0,1782.0,500.0,2895.0,0.0,687.0,2113.0,3030.0,999.0,2706.0
19,229.0,2116.0,1215.0,2327.0,657.0,2821.0,0.0,1003.0,1160.0,1863.0,582.0,2411.0
20,236.0,2116.0,1053.0,1911.0,13232.0,2895.0,0.0,715.0,1391.0,2041.0,659.0,2350.0
21,236.0,2185.0,1076.0,1755.0,8812.0,2947.0,1.0,517.0,1734.0,2460.0,811.0,2407.0
22,229.0,2116.0,1268.0,1828.0,-3695.0,2871.0,0.0,785.0,2068.0,2995.0,954.0,2686.0
23,229.0,2116.0,1246.0,1807.0,522.0,2895.0,0.0,691.0,1987.0,2864.0,962.0,2527.0
24,229.0,2116.0,1220.0,1683.0,-3677.0,2869.0,0.0,767.0,2240.0,3149.0,1072.0,2942.0
25,236.0,2116.0,2015.0,3141.0,809.0,2900.0,0.0,711.0,1435.0,2743.0,682.0,2016.0
26,236.0,2116.0,1973.0,3055.0,808.0,2899.0,0.0,709.0,1461.0,2746.0,699.0,2075.0
27,229.0,2116.0,1959.0,3040.0,5185.0,2924.0,0.0,610.0,1497.0,2769.0,716.0,2077.0
28,229.0,2116.0,1841.0,2765.0,840.0,2898.0,0.0,702.0,1715.0,2969.0,802.0,2427.0
29,236.0,2116.0,1509.0,2117.0,5201.0,2923.0,0.0,601.0,2076.0,3188.0,964.0,3023.0
30,229.0,2116.0,1479.0,2048.0,840.0,2897.0,0.0,696.0,2121.0,3213.0,1000.0,2815.0
31,236.0,2116.0,1631.0,2479.0,5184.0,2922.0,0.0,606.0,1667.0,2736.0,835.0,1992.0
32,229.0,2116.0,2049.0,3290.0,-3618.0,2873.0,0.0,808.0,1321.0,2615.0,632.0,2247.0
33,236.0,2116.0,1835.0,2826.0,512.0,2898.0,0.0,706.0,1580.0,2820.0,719.0,2425.0
34,229.0,2116.0,1460.0,2277.0,521.0,2898.0,0.0,706.0,1685.0,2690.0,770.0,2815.0
35,229.0,2116.0,1413.0,2008.0,4896.0,2922.0,0.0,609.0,2057.0,3092.0,955.0,3049.0
36,236.0,2116.0,1464.0,1977.0,811.0,2897.0,0.0,689.0,2267.0,3385.0,1056.0,3107.0
37,229.0,2116.0,1400.0,1847.0,-3545.0,2871.0,0.0,772.0,2431.0,3533.0,1127.0,3209.0
38,229.0,2116.0,1781.0,3072.0,491.0,2898.0,0.0,707.0,1165.0,2200.0,625.0,1882.0
39,229.0,2116.0,1334.0,2389.0,496.0,2898.0,0.0,705.0,1262.0,2082.0,607.0,2353.0
40,236.0,2185.0,1172.0,1958.0,4621.0,2922.0,1.0,611.0,1538.0,2282.0,759.0,2478.0
41,236.0,2116.0,1429.0,1942.0,474.0,2896.0,0.0,696.0,2246.0,3328.0,1046.0,2907.0
42,229.0,2116.0,1300.0,1828.0,-3612.0,2871.0,0.0,776.0,2146.0,3111.0,1000.0,2894.0
43,236.0,2116.0,1257.0,1782.0,500.0,2895.0,0.0,687.0,2113.0,3030.0,999.0,2706.0
44,229.0,2116.0,1215.0,2327.0,657.0,2821.0,0.0,1003.0,1160.0,1863.0,582.0,2411.0
45,236.0,2116.0,1053.0,1911.0,13232.0,2895.0,0.0,715.0,1391.0,2041.0,659.0,2350.0
46,236.0,2185.0,1076.0,1755.0,8812.0,2947.0,1.0,517.0,1734.0,2460.0,811.0,2407.0
47,229.0,2116.0,1268.0,1828.0,-3695.0,2871.0,0.0,785.0,2068.0,2995.0,954.0,2686.0
48,229.0,2116.0,1246.0,1807.0,522.0,2895.0,0.0,691.0,1987.0,2864.0,962.0,2527.0
49,229.0,2116.0,1220.0,1683.0,-3677.0,2869.0,0.0,767.0,2240.0,3149.0,1072.0,2942.0
50,236.0,2116.0,2015.0,3141.0,809.0,2900.0,0.0,711.0,1435.0,2743.0,682.0,2016.0
51,236.0,2116.0,1973.0,3055.0,808.0,2899.0,0.0,709.0,1461.0,2746.0,699.0,2075.0
52,229.0,2116.0,1959.0,3040.0,5185.0,2924.0,0.0,610.0,1497.0,2769.0,716.0,2077.0
53,229.0,2116.0,1841.0,2765.0,840.0,2898.0,0.0,702.0,1715.0,2969.0,802.0,2427.0
54,236.0,2116.0,1509.0,2117.0,5201.0,2923.0,0.0,601.0,2076.0,3188.0,964.0,3023.0
55,229.0,2116.0,1479.0,2048.0,840.0,2897.0,0.0,696.0,2121.0,3213.0,1000.0,2815.0
56,236.0,2116.0,1631.0,2479.0,5184.0,2922.0,0.0,606.0,1667.0,2736.0,835.0,1992.0
57,229.0,2116.0,2049.0,3290.0,-3618.0,2873.0,0.0,808.0,1321.0,2615.0,632.0,2247.0
58,236.0,2116.0,1835.0,2826.0,512.0,2898.0,0.0,706.0,1580.0,2820.0,719.0,2425.0
59,229.0,2116.0,1460.0,2277.0,521.0,2898.0,0.0,706.0,1685.0,2690.0,770.0,2815.0
60,229.0,2116.0,1413.0,2008.0,4896.0,2922.0,0.0,609.0,2057.0,3092.0,955.0,3049.0
61,236.0,2116.0,1464.0,1977.0,811.0,2897.0,0.0,689.0,2267.0,3385.0,1056.0,3107.0
62,229.0,2116.0,1400.0,1847.0,-3545.0,2871.0,0.0,772.0,2431.0,3533.0,1127.0,3209.0
63,229.0,2116.0,1781.0,3072.0,491.0,2898.0,0.0,707.0,1165.0,2200.0,625.0,1882.0
64,229.0,2116.0,1334.0,2389.0,496.0,2898.0,0.0,705.0,1262.0,2082.0,607.0,2353.0
65,236.0,2185.0,1172.0,1958.0,4621.0,2922.0,1.0,611.0,1538.0,2282.0,759.0,2478.0
66,236.0,2116.0,1429.0,1942.0,474.0,2896.0,0.0,696.0,2246.0,3328.0,1046.0,2907.0
67,229.0,2116.0,1300.0,1828.0,-3612.0,2871.0,0.0,776.0,2146.0,3111.0,1000.0,2894.0
