,province,town,coordinates,start_date,end_date
0,Bouira,Zbarbar,"[[3.492685728973859, 36.43394768212741], [3.641001158661359, 36.43394768212741], [3.641001158661359, 36.54932072666466], [3.492685728973859, 36.54932072666466], [3.492685728973859, 36.43394768212741]]",2023-07-22,2023-07-26
1,Bouira,Ain El Hadjar,"[[3.7466070010522223, 36.400141274434034], [3.81183832429441, 36.400141274434034], [3.81183832429441, 36.45152311464115], [3.7466070010522223, 36.45152311464115], [3.7466070010522223, 36.400141274434034]]",2023-07-22,2023-07-26
2,Bejaia,El Kseur,"[[4.714893489362404, 36.694246790637855], [4.894107966901466, 36.694246790637855], [4.894107966901466, 36.891100471204204], [4.714893489362404, 36.891100471204204], [4.714893489362404, 36.694246790637855]]",2023-07-22,2023-07-26
3,Bejaia,Semaoune,"[[4.737552791120216, 36.54158582333754], [4.847416072370216, 36.54158582333754], [4.847416072370216, 36.62814918784368], [4.737552791120216, 36.62814918784368], [4.737552791120216, 36.54158582333754]]",2023-07-22,2023-07-26
4,Bejaia,Taskriout,"[[5.244543306205647, 36.51634410420768], [5.293981782768147, 36.51634410420768], [5.293981782768147, 36.53344950645401], [5.244543306205647, 36.53344950645401], [5.244543306205647, 36.51634410420768]]",2023-07-22,2023-07-26
5,Tizi Ouzou,At Yahya Musa,"[[3.872019951408232, 36.63089115239109], [3.925234978263701, 36.63089115239109], [3.925234978263701, 36.65237833375008], [3.872019951408232, 36.65237833375008], [3.872019951408232, 36.63089115239109]]",2023-07-22,2023-07-26
6,Tizi Ouzou,Deraa Ben Khedda,"[[3.907217611964744, 36.72358002663719], [3.9532228609881814, 36.72358002663719], [3.9532228609881814, 36.73541199944733], [3.907217611964744, 36.73541199944733], [3.907217611964744, 36.72358002663719]]",2023-07-22,2023-07-26
7,Tizi Ouzou,Azzefoun,"[[4.406761317731545, 36.88261793734841], [4.428562312604591, 36.88261793734841], [4.428562312604591, 36.891954190258225], [4.406761317731545, 36.891954190258225], [4.406761317731545, 36.88261793734841]]",2023-07-22,2023-07-26
8,Jijel,Ziama Mansouriah,"[[5.357839814994709, 36.60554467397053], [5.527441255424397, 36.60554467397053], [5.527441255424397, 36.67551674625808], [5.357839814994709, 36.67551674625808], [5.357839814994709, 36.60554467397053]]",2023-07-22,2023-07-26
9,Jijel,Oudjana,"[[5.891708584653337, 36.706697168993145], [5.951446743833024, 36.706697168993145], [5.951446743833024, 36.74302076606134], [5.891708584653337, 36.74302076606134], [5.891708584653337, 36.706697168993145]]",2023-07-22,2023-07-26
10,Jijel,Chahna,"[[5.951429041599305, 36.6737435428928], [5.977864893650087, 36.6737435428928], [5.977864893650087, 36.69219057270191], [5.951429041599305, 36.69219057270191], [5.951429041599305, 36.6737435428928]]",2023-07-22,2023-07-26
11,Skikda,Ouled Attia,"[[6.2946221299502225, 36.964604276170185], [6.345777220282254, 36.964604276170185], [6.345777220282254, 37.010127332871285], [6.2946221299502225, 37.010127332871285], [6.2946221299502225, 36.964604276170185]]",2023-07-22,2023-07-26
12,Skikda,Collo,"[[6.5184685654970975, 36.97502762113978], [6.5528008408877225, 36.97502762113978], [6.5528008408877225, 36.994224783052765], [6.5184685654970975, 36.994224783052765], [6.5184685654970975, 36.97502762113978]]",2023-07-22,2023-07-26
13,Skikda,Kerkera,"[[6.531171507391629, 36.86496198499523], [6.612195677313504, 36.86496198499523], [6.612195677313504, 36.92701352700734], [6.531171507391629, 36.92701352700734], [6.531171507391629, 36.86496198499523]]",2023-07-22,2023-07-26
14,Skikda,Ksir Beni Zid,"[[6.491562665297073, 36.8068099633404], [6.560913861586135, 36.8068099633404], [6.560913861586135, 36.84363567283041], [6.491562665297073, 36.84363567283041], [6.491562665297073, 36.8068099633404]]",2023-07-22,2023-07-26
15,Skikda,Tamalous,"[[6.672443654922584, 36.82139779009754], [6.728576925186256, 36.82139779009754], [6.728576925186256, 36.85958996810555], [6.672443654922584, 36.85958996810555], [6.672443654922584, 36.82139779009754]]",2023-07-22,2023-07-26
16,Skikda,Skikda,"[[6.915792769377802, 36.85766707711248], [7.003683394377802, 36.85766707711248], [7.003683394377802, 36.89185984420854], [6.915792769377802, 36.89185984420854], [6.915792769377802, 36.85766707711248]]",2023-07-22,2023-07-26
17,Boumerdes,Timezrit,"[[3.7412257228692836, 36.657581298026535], [3.8867945705255336, 36.657581298026535], [3.8867945705255336, 36.74291403131869], [3.7412257228692836, 36.74291403131869], [3.7412257228692836, 36.657581298026535]]",2023-07-22,2023-07-26
